0, -11.03, -82.33, 46
1, -4.93, -98.05, 96
2, 81.52, 2.41, 49
3, 36.82, -42.62, 71
4, -69.86, 11.88, 27
5, 27.50, 99.58, 2
6, 16.39, -75.25, 6
7, -62.67, -49.26, 75
8, -56.27, 23.81, 65
9, -81.49, 97.63, 2
10, -72.25, 99.23, 92
11, -91.38, -26.20, 18
12, 85.28, 64.99, 1
13, -90.35, -84.29, 97
14, 77.95, 83.52, 7
15, -27.63, -55.81, 12
16, 93.90, 69.35, 13
17, 18.68, 7.42, 65
18, 29.20, 9.28, 24
19, -59.89, 77.74, 34
20, -17.78, 1.86, 70
21, -18.32, -53.13, 82
22, -30.61, -33.37, 25
23, -31.75, 62.47, 56
24, -60.40, 80.26, 41
25, -32.86, -43.08, 51
26, -99.05, -72.27, 51
27, 95.60, -98.25, 18
28, -74.80, 55.88, 90
29, -41.55, 21.00, 13
30, 23.09, 61.44, 3
31, 99.60, 2.51, 50
32, 25.35, 97.73, 64
33, 13.78, 40.47, 83
34, 96.25, 14.50, 80
35, 5.54, 1.54, 55
36, -72.84, 0.51, 50
37, -74.48, -25.29, 98
38, -77.31, 10.70, 11
39, -36.34, -1.72, 91
40, -56.03, 93.99, 11
41, -16.41, -97.49, 74
42, -1.80, 83.47, 7
43, -85.53, 78.15, 72
44, 47.49, -71.59, 80
45, -47.40, 83.86, 28
46, -31.00, -62.41, 41
47, -84.89, 10.89, 47
48, 54.53, 89.69, 32
49, -49.29, 51.06, 85
50, -71.31, -93.75, 84
51, 46.34, 13.06, 14
52, -42.79, 92.68, 55
53, -2.67, 15.08, 84
54, 16.30, 6.55, 83
55, -16.88, 23.55, 49
56, -16.68, 11.54, 72
57, 52.67, 32.33, 46
58, -25.84, -68.99, 97
59, -71.42, 44.51, 2
60, 4.34, 62.94, 87
61, -93.70, -95.24, 10
62, -82.82, -3.95, 20
63, -43.61, -31.30, 86
64, 61.98, -70.98, 44
65, -10.97, 89.32, 12
66, -44.76, -10.00, 90
67, -3.73, -64.60, 19
68, 18.38, -33.88, 55
69, -37.46, 28.79, 96
70, 76.76, 40.42, 60
71, -89.69, 76.83, 84
72, -95.45, 74.56, 94
73, 86.50, 2.44, 5
74, 10.36, -81.09, 19
75, -62.77, -49.23, 38
76, 4.41, 36.12, 4
77, -19.01, -71.49, 11
78, 65.41, -49.79, 9
79, 16.49, -4.42, 23
80, 89.41, 79.65, 49
81, 91.18, -39.56, 33
82, -59.66, -43.22, 26
83, -63.85, 28.52, 12
84, 61.32, -74.27, 10
85, -67.18, -54.61, 84
86, 85.24, -44.20, 38
87, -57.72, 3.88, 2
88, -63.56, 53.24, 33
89, 44.73, 38.33, 29
90, 39.78, 37.45, 27
91, -38.91, 42.76, 75
92, -65.22, 77.80, 83
93, 49.88, -14.80, 71
94, 93.47, -36.97, 15
95, -11.22, 29.45, 69
96, 28.52, -21.71, 64
97, 51.03, -17.21, 35
98, -35.30, 94.57, 16
99, -92.94, -85.85, 60
100, 96.08, 61.15, 5
101, 41.20, 3.85, 52
102, 31.53, 45.33, 14
103, 99.33, -39.22, 64
104, 78.46, 5.53, 58
105, 63.26, 45.35, 74
106, -52.53, -12.60, 19
107, 81.48, 6.62, 26
108, -96.04, -6.67, 41
109, -96.71, -44.42, 5
110, 48.97, -2.95, 35
111, -53.76, 61.17, 89
112, -64.34, 86.55, 87
113, -6.96, 52.30, 68
